2026-05-08 10:43:27.089 INFO  [restartedMain] com.example.Application - Starting Application using Java 25.0.2 with PID 3656 (C:\Users\MantenimientoX\Desktop\IntelliJ IDEA\LineaBaseX\applineabase\target\classes started by MantenimientoX in C:\Users\MantenimientoX\Desktop\IntelliJ IDEA\LineaBaseX\applineabase)
2026-05-08 10:43:27.094 INFO  [restartedMain] com.example.Application - The following 1 profile is active: "dev"
2026-05-08 10:43:27.174 INFO  [restartedMain] o.s.b.d.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\MantenimientoX\Desktop\IntelliJ IDEA\LineaBaseX\applineabase\lib\EasyModbusJavaClient.jar referenced one or more files that do not exist: file:/C:/Users/MantenimientoX/Desktop/IntelliJ%20IDEA/LineaBaseX/applineabase/lib/
2026-05-08 10:43:27.177 INFO  [restartedMain] o.s.b.d.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\MantenimientoX\Desktop\IntelliJ IDEA\LineaBaseX\applineabase\lib\EasyModbusJavaServer.jar referenced one or more files that do not exist: file:/C:/Users/MantenimientoX/Desktop/IntelliJ%20IDEA/LineaBaseX/applineabase/lib/
2026-05-08 10:43:27.178 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-05-08 10:43:27.178 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-05-08 10:43:28.795 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-08 10:43:28.891 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 64 ms. Found 0 JPA repository interfaces.
2026-05-08 10:43:31.309 INFO  [restartedMain] o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-05-08 10:43:31.330 INFO  [restartedMain] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-08 10:43:31.331 INFO  [restartedMain] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.20]
2026-05-08 10:43:31.420 INFO  [restartedMain] o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 4241 ms
2026-05-08 10:43:31.876 INFO  [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing AtmosphereFramework
2026-05-08 10:43:43.650 INFO  [restartedMain] c.v.f.s.VaadinServletContextInitializer - Search for subclasses and classes with annotations took 11275 ms
2026-05-08 10:43:43.902 INFO  [restartedMain] c.v.b.d.s.DevModeStartupListener - Starting dev-mode updaters in C:\Users\MantenimientoX\Desktop\IntelliJ IDEA\LineaBaseX\applineabase folder.
